urn,name,fsm_pct,sen_pct,eal_pct,girls_pct,boys_pct,class_size_avg,pupil_teacher_ratio,pupils_on_roll,year,eth_white_british,eth_irish,eth_traveller_irish,eth_white_other,eth_gypsy_roma,eth_mixed_wbcaribbean,eth_mixed_wbafrican,eth_mixed_wasian,eth_mixed_other,eth_indian,eth_pakistani,eth_bangladeshi,eth_asian_other,eth_caribbean,eth_african,eth_black_other,eth_chinese,eth_other,eth_unclassified
108920,Chester Park Junior School,32.5,,45.4,43.7,56.3,26.1,,295,2025,33.2,0.0,0.0,9.2,0.3,6.4,0.7,3.1,5.4,3.4,16.6,3.4,3.1,4.4,5.4,2.4,0.3,2.7,0.0
108921,Chester Park Infant School,19.2,,35.8,42.8,57.2,28.6,,229,2025,45.9,0.0,0.0,3.9,0.0,8.7,2.6,4.8,3.5,1.3,11.4,2.6,2.6,2.6,5.7,0.0,1.3,0.9,2.2
108931,Glenfrome Primary School,22.0,,32.2,45.6,54.4,29.0,,419,2025,45.6,0.0,0.0,9.1,0.2,6.4,2.9,1.2,7.9,1.0,11.5,1.9,1.2,1.9,7.4,1.0,0.0,0.7,0.2
108956,St Anne's Infant School,25.1,,12.8,54.0,46.0,22.6,,187,2025,69.0,0.0,0.0,9.1,0.0,3.2,2.7,1.1,4.3,0.5,0.0,0.0,0.5,0.0,4.3,0.0,0.0,0.0,5.3
108960,Sefton Park Infant School,7.5,,9.9,54.0,46.0,30.4,,213,2025,65.7,0.5,0.0,8.9,0.0,1.4,0.9,3.3,7.5,1.4,2.8,0.0,0.0,0.0,5.2,0.0,0.0,1.4,0.9
108961,Sefton Park Junior School,13.4,,10.4,46.3,53.7,28.6,,231,2025,61.0,0.4,0.0,6.1,0.0,0.9,3.0,4.3,4.8,2.2,2.2,0.4,0.9,0.4,9.1,1.3,0.0,0.9,2.2
108964,Southville Primary School,9.7,,15.8,53.2,46.8,27.0,,632,2025,73.4,0.3,0.0,5.9,0.0,2.2,0.8,4.3,4.7,0.3,1.1,0.0,0.8,0.3,4.0,0.5,0.9,0.2,0.3
108966,Summerhill Infant School,26.7,,26.2,49.4,50.6,28.7,,172,2025,44.8,0.0,0.0,4.7,0.0,3.5,1.2,2.9,8.1,1.2,4.7,0.6,3.5,0.6,13.4,2.3,0.0,8.7,0.0
108970,Upper Horfield Primary School,36.8,,59.5,47.6,52.4,25.8,,185,2025,29.7,0.0,0.0,10.3,2.2,4.9,2.7,2.2,5.4,16.2,2.2,2.2,3.8,0.0,6.5,3.2,1.1,6.5,1.1
108975,Holymead Primary School,13.6,,14.4,51.3,48.7,27.9,,583,2025,67.9,0.5,0.0,9.3,0.0,3.8,0.9,2.7,1.5,2.1,1.4,0.3,1.5,0.9,4.8,1.0,0.5,0.5,0.3
108980,Brentry Primary School,35.0,,22.7,42.9,57.1,29.0,,203,2025,62.1,1.0,0.0,6.9,0.0,2.5,2.0,3.0,4.4,5.4,1.5,1.0,2.0,0.0,4.9,0.5,0.0,2.5,0.5
108983,Broomhill Infant & Nursery School,36.1,,24.3,45.5,54.5,22.4,,202,2025,58.9,0.0,0.0,9.9,0.0,7.9,3.0,2.5,2.5,2.0,4.5,2.0,1.5,0.0,4.5,0.0,0.0,0.0,1.0
109007,Twerton Infant School,48.7,,13.3,41.3,58.7,27.6,,150,2025,73.3,0.0,1.3,4.7,1.3,5.3,1.3,0.0,1.3,4.7,0.7,0.0,1.3,0.0,2.0,0.7,0.0,2.0,0.0
109089,Paulton Junior School,18.9,,8.0,54.2,45.8,30.3,,238,2025,87.4,0.0,0.0,5.5,0.0,0.8,1.3,0.8,1.3,0.4,0.0,0.0,1.7,0.0,0.0,0.4,0.0,0.4,0.0
109110,Hannah More Primary School,49.5,,80.1,40.8,59.2,25.8,,206,2025,1.5,0.0,0.0,4.9,0.0,5.3,0.5,0.5,3.9,1.5,5.3,5.3,5.8,3.4,51.9,4.4,0.0,4.9,1.0
109116,Bishop Road Primary School,7.4,,29.5,47.0,53.0,28.8,,779,2025,62.9,0.3,0.0,9.8,0.0,1.5,0.4,4.4,4.6,2.3,4.1,0.3,2.4,0.9,1.9,0.3,2.6,0.6,0.8
109118,Blaise Primary and Nursery School,41.5,,34.7,49.0,51.0,29.1,,441,2025,52.2,0.0,0.0,5.9,0.0,3.4,1.1,2.3,3.4,5.7,1.1,1.8,2.0,0.9,14.1,2.7,0.5,2.7,0.2
109130,Fair Furlong Primary School,57.7,,11.5,52.9,47.1,25.6,,454,2025,78.4,0.2,0.0,4.6,0.0,1.8,1.8,0.4,2.6,2.0,0.4,0.0,1.3,0.4,3.1,2.2,0.2,0.2,0.2
109132,Whitehall Primary School,23.1,,15.1,48.2,51.8,28.7,,602,2025,51.2,0.5,0.0,6.0,0.2,3.8,0.8,4.0,5.1,0.7,9.1,1.2,3.5,0.7,8.6,2.2,0.7,1.7,0.2
