urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
141705,Fairfield High School,Secondary,,,,,0.25,49.9,4.34,44.3,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
141706,Four Acres Academy,Primary,48.0,0.0,103.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
141767,Clutton Primary School,Primary,75.0,6.0,107.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142032,Woodlands Academy,Primary,58.0,4.0,104.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142125,Somerset Studio School,Secondary,,,,,-0.31,40.4,2.77,32.3,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
142127,IKB Academy,Secondary,,,,,-0.54,38.6,3.09,31.5,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
142227,St John's Church of England Primary School,Primary,70.0,4.0,104.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142716,Moorlands Junior School,Primary,43.0,6.0,106.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142754,Weston All Saints CofE Primary School,Primary,39.0,0.0,106.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142941,Welton Primary School,Primary,73.0,0.0,108.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142942,Longvernal Primary School,Primary,65.0,6.0,108.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
142943,Combe Down CofE Primary School,Primary,65.0,12.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143083,Saltford CofE Primary School,Primary,82.0,13.0,109.0,107.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
143108,St Martin's Garden Primary School,Primary,29.0,3.0,102.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
