urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
103877,1.5,-1.62,0.14,3.0
103878,1.9,-1.47,0.1,0.0
103880,,,,
103881,0.2,-1.57,0.0,0.0
103882,32.1,0.41,1.67,13.0
103883,,,,
104018,41.2,0.19,3.33,32.0
104019,47.1,0.41,3.78,33.0
104124,21.6,,1.05,0.0
104130,,,,
104131,,,,
104132,,,,
104133,,,,
104255,49.7,-0.08,3.83,52.0
104259,40.1,-0.57,3.41,29.0
104266,65.6,,5.55,90.0
104269,,,,
104271,,,,
104272,,,,
104387,41.2,-0.09,3.5,30.0
104395,40.6,0.16,3.38,29.0
104407,51.3,,4.73,50.0
104411,28.3,,1.15,0.0
104412,2.4,-1.35,0.27,0.0
104414,,,,
104415,,,,
104417,,,,
104495,,,,
104498,3.9,-2.69,0.2,5.0
104688,45.5,0.14,4.12,44.0
104698,45.5,-0.1,4.07,45.0
104700,34.3,-0.74,2.68,25.0
104703,52.5,0.24,4.64,61.0
104705,57.9,0.97,5.23,67.0
104706,31.5,-1.28,2.54,13.0
104712,44.3,-0.37,3.57,34.0
104713,41.2,-0.62,3.45,30.0
104714,41.6,-0.57,3.32,34.0
104715,42.8,-0.4,3.85,28.0
104717,44.3,-0.46,3.9,38.0
104721,53.6,0.05,4.48,67.0
104730,62.9,,5.8,78.0
104734,,,,
104735,,,,
104736,2.6,-1.57,0.17,3.0
104739,7.1,-1.98,0.22,0.0
104742,6.2,-1.56,0.41,0.0
104748,,,,
104749,,,,
104829,39.9,-0.77,3.39,27.0
104834,44.9,-0.28,3.89,45.0
104835,34.3,-1.01,2.74,24.0
104837,48.7,,3.63,53.0
104839,4.1,,0.33,0.0
104843,7.5,-2.28,0.58,0.0
104956,44.2,-0.01,3.87,46.0
104959,31.1,-1.26,2.18,8.0
104960,40.8,-0.8,3.29,31.0
104962,48.0,-0.02,4.06,45.0
104964,40.7,-0.47,3.48,31.0
104972,60.3,,5.48,73.0
104973,42.9,,2.68,0.0
104974,51.9,,4.63,0.0
104977,9.7,-1.8,0.26,0.0
104979,,,,
104980,,,,
104982,11.2,-2.0,0.58,5.0
104983,1.3,-2.51,0.2,0.0
105097,37.4,-0.3,2.84,23.0
105101,44.8,0.27,3.87,45.0
105103,33.7,-0.76,2.76,18.0
105107,40.9,-0.16,3.22,23.0
105123,47.5,,4.63,0.0
105129,16.2,-0.39,1.38,3.0
105130,8.3,-1.73,0.33,0.0
105131,,,,
105133,0.2,-1.55,0.0,0.0
105135,43.8,0.04,3.54,33.0
105137,13.4,-1.49,1.01,0.0
105252,43.3,-0.74,3.63,41.0
105253,46.2,-0.19,4.12,40.0
105262,47.8,-0.11,4.21,51.0
105263,37.5,-0.41,3.13,24.0
105264,47.3,-0.07,4.08,41.0
105269,4.0,,0.15,0.0
105271,51.4,,4.95,0.0
105272,57.0,,5.42,0.0
105276,,,,
105277,1.8,-1.47,0.02,0.0
105280,,,,
105354,43.0,-0.5,3.65,41.0
105355,43.4,0.4,3.7,35.0
105358,48.8,0.1,4.28,49.0
105360,44.3,-0.38,3.98,36.0
105372,46.2,,4.63,43.0
105373,37.9,,3.98,0.0
105560,39.4,-0.12,3.77,30.0
105574,42.1,-0.72,3.55,35.0
105576,49.9,0.35,4.39,45.0
105581,46.5,-0.19,4.2,46.0
105588,39.4,,3.53,0.0
105591,42.7,,2.48,0.0
105592,73.2,,6.93,98.0
105594,30.3,,2.63,0.0
105595,64.5,,6.13,0.0
105596,,,,
105601,5.2,,0.45,0.0
105608,,,,
105614,6.4,-2.0,0.3,2.0
105623,4.2,-2.81,0.19,0.0
105736,44.1,-0.55,3.77,40.0
105738,46.0,0.03,3.63,40.0
105745,63.1,,5.51,78.0
105837,39.7,-0.28,3.22,36.0
105844,46.9,0.01,3.91,44.0
105845,37.2,-0.61,3.44,26.0
105855,53.4,,5.03,68.0
105861,2.1,-2.71,0.18,0.0
105986,51.1,0.39,4.74,51.0
105989,44.4,-0.38,3.68,43.0
105992,54.2,,3.51,61.0
105996,39.7,,4.16,0.0
106004,,,,
106133,50.7,-0.09,4.54,57.0
106135,45.0,-0.23,4.28,45.0
106138,51.6,0.12,4.39,57.0
106139,54.3,0.34,4.86,60.0
106142,51.5,0.23,4.54,54.0
106143,41.9,-0.62,3.42,37.0
106151,20.4,,1.69,15.0
106156,15.6,,1.02,0.0
106157,15.4,,0.95,0.0
106158,,,,
106162,4.0,,0.28,0.0
106166,,,,
106167,1.4,-2.02,0.07,0.0
106172,3.1,-1.74,0.1,0.0
106173,,,,
106266,48.8,-0.24,4.48,51.0
106268,38.0,-0.41,3.22,28.0
106270,54.3,0.5,5.1,64.0
106271,49.3,0.28,4.1,53.0
106276,52.8,,4.47,45.0
106279,,,,
106365,40.3,-0.31,3.54,31.0
106368,72.1,0.6,6.7,95.0
106370,46.3,0.2,3.72,42.0
106375,50.3,0.0,4.51,51.0
106376,47.1,0.2,3.7,46.0
106391,,,,
106521,47.2,-0.28,3.98,39.0
106523,37.0,-0.73,3.15,27.0
106525,51.7,0.05,4.63,56.0
106529,47.9,-0.25,4.09,47.0
106534,41.8,-0.44,3.53,30.0
106535,42.1,-0.71,3.39,36.0
106537,51.4,-0.25,4.28,55.0
106538,46.3,-0.34,4.04,47.0
106540,49.7,0.13,4.25,50.0
106543,,,,
106653,55.8,0.46,4.77,66.0
106812,36.4,,2.55,0.0
106818,,,,
106962,42.8,-0.25,3.71,40.0
106965,2.8,,0.15,0.0
106966,4.1,-1.62,0.43,0.0
106970,,,,
107140,50.2,0.01,4.67,52.0
107162,62.9,,5.6,83.0
107163,69.1,,6.37,96.0
107166,19.0,,1.25,0.0
107168,56.4,,4.57,60.0
107169,6.7,-1.17,0.56,2.0
107178,,,,
107395,41.8,-0.32,3.46,33.0
107439,46.9,-0.04,4.0,48.0
107455,27.9,,2.07,1.0
107460,43.6,,4.37,0.0
107461,34.1,,2.9,50.0
107562,48.4,0.1,4.0,43.0
107564,45.5,0.0,3.71,40.0
107583,29.4,,2.72,0.0
107585,56.6,,4.94,78.0
107588,,,,
107589,4.8,-2.06,0.25,8.0
107756,40.4,-0.24,3.12,30.0
107769,55.3,0.74,4.65,66.0
107775,43.4,0.22,3.43,38.0
107778,36.2,-0.7,2.94,30.0
107782,47.0,0.02,3.9,40.0
107786,60.2,,5.08,66.0
107794,47.3,,4.45,39.0
107795,,,,
107796,,,,
107797,,,,
107799,0.6,-1.53,0.0,0.0
107801,0.6,-1.7,0.05,0.0
107802,,,,
108055,42.7,-0.26,3.73,36.0
108057,57.1,0.64,5.2,75.0
108058,43.9,-0.03,4.17,43.0
108059,47.6,0.47,4.27,50.0
108075,43.0,-0.48,3.71,41.0
108076,51.8,0.33,4.62,63.0
108079,46.7,0.02,3.96,41.0
108083,45.4,-0.25,3.83,46.0
108085,52.0,0.2,4.71,60.0
108088,48.7,0.19,4.7,52.0
108095,55.2,0.55,5.07,65.0
108097,49.0,0.81,4.14,42.0
108104,46.1,,3.83,0.0
108113,44.6,,2.23,0.0
108114,16.3,,0.78,4.0
108117,37.6,,3.37,29.0
108119,0.6,-1.57,0.0,0.0
108120,,,,
108123,2.4,-1.61,0.22,4.0
108133,,,,
108271,50.0,0.21,4.79,57.0
108300,39.1,,3.15,0.0
108303,35.9,,1.29,0.0
108305,67.7,,6.24,81.0
108306,47.5,,3.91,0.0
108307,,,,
108311,0.2,-1.68,0.02,0.0
108410,42.1,-0.41,3.84,34.0
108414,19.7,,0.72,25.0
108420,56.9,0.38,5.27,65.0
108426,6.1,-1.88,0.55,0.0
108538,65.0,,5.55,80.0
108542,56.7,,4.64,56.0
