urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
144737,Abbot Alphege Academy,Primary,Free School,Bath and North East Somerset,BA1 9AU,Unknown,THE PARTNERSHIP TRUST,0,4,11,Does not have a sixth form,South West,South West,Bath,1,3,19/01/2022,28/03/2022,51.407721,-2.374777,E00189553,Bath and North East Somerset 007E,Bath and North East Somerset 007,Lansdown,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
144762,Somerdale Educate Together Primary Academy,Primary,Free School,Bath and North East Somerset,BS31 2FF,Unknown,Educate Together Academy Trust,228,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,01/03/2022,05/05/2022,51.421784,-2.495857,E00189571,Bath and North East Somerset 001B,Bath and North East Somerset 001,Keynsham North,Bath and North East Somerset,Keynsham
144779,Badocks Wood E-ACT Academy,Primary,Academy Sponsor Led,Bristol,BS10 5PU,Not applicable,E-ACT,207,3,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,30/11/2022,22/01/2023,51.49967,-2.605125,E00074217,Bristol 002D,Bristol 002,Southmead,"Bristol, City of","Bristol, City of, unparished area"
144830,Midsomer Norton Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2DR,Not applicable,Midsomer Norton Schools Partnership,270,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,07/02/2013,04/03/2013,51.286969,-2.480652,E00072854,Bath and North East Somerset 025D,Bath and North East Somerset 025,Midsomer Norton Redfield,Bath and North East Somerset,Midsomer Norton
144863,Victoria Park Primary School,Primary,Academy Converter,Bristol,BS3 4QS,Not applicable,Cathedral Schools Trust,405,4,11,Does not have a sixth form,South West,South West,Bristol South,3,2,30/01/2013,03/04/2013,51.436901,-2.589018,E00074404,Bristol 040D,Bristol 040,Windmill Hill,"Bristol, City of","Bristol, City of, unparished area"
144864,Headley Park Primary School,Primary,Academy Converter,Bristol,BS13 7QB,Not applicable,Cathedral Schools Trust,430,3,11,Does not have a sixth form,South West,South West,Bristol South,4,Not judged,01/10/2024,23/10/2024,51.417585,-2.610296,E00073711,Bristol 048C,Bristol 048,Bishopsworth,"Bristol, City of","Bristol, City of, unparished area"
144880,Perry Court E-ACT Academy,Primary,Academy Sponsor Led,Bristol,BS14 0AX,Not applicable,E-ACT,464,3,11,Does not have a sixth form,South West,South West,Bristol South,5,2,26/01/2022,13/03/2022,51.41669,-2.572045,E00073791,Bristol 047B,Bristol 047,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
144892,Fonthill Primary Academy,Primary,Academy Converter,Bristol,BS10 5SW,Not applicable,Trust in Learning (Academies),226,3,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,28/09/2022,09/11/2022,51.505871,-2.591635,E00074204,Bristol 002E,Bristol 002,Southmead,"Bristol, City of","Bristol, City of, unparished area"
145070,Farmborough Church Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 0FY,Not applicable,THE PARTNERSHIP TRUST,150,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,19/11/2024,12/01/2025,51.343064,-2.49294,E00072692,Bath and North East Somerset 016A,Bath and North East Somerset 016,Clutton & Farmborough,Bath and North East Somerset,Farmborough
145320,Compass Point Primary School,Primary,Academy Converter,Bristol,BS3 3AU,Not applicable,Excalibur Academies Trust,220,3,11,Does not have a sixth form,South West,South West,Bristol South,4,2,02/11/2022,12/01/2023,51.438825,-2.606537,E00073228,Bristol 039H,Bristol 039,Bedminster,"Bristol, City of","Bristol, City of, unparished area"
145321,Ashton Vale Primary School,Primary,Academy Converter,Bristol,BS3 2QG,Not applicable,Excalibur Academies Trust,162,4,11,Does not have a sixth form,South West,South West,Bristol South,4,Not judged,04/03/2025,03/04/2025,51.433324,-2.626647,E00073253,Bristol 041A,Bristol 041,Bedminster,"Bristol, City of","Bristol, City of, unparished area"
145398,Ashton Park School,Secondary,Academy Sponsor Led,Bristol,BS3 2JL,Non-selective,Excalibur Academies Trust,1252,11,18,Has a sixth form,South West,South West,Bristol South,3,2,08/11/2022,15/01/2023,51.440577,-2.630645,E00178099,Bristol 036A,Bristol 036,Bedminster,"Bristol, City of","Bristol, City of, unparished area"
145399,Luckwell Primary School,Primary,Academy Sponsor Led,Bristol,BS3 3ET,Not applicable,Excalibur Academies Trust,76,4,11,Does not have a sixth form,South West,South West,Bristol South,3,Not judged,14/01/2025,11/02/2025,51.437302,-2.612402,E00073236,Bristol 041B,Bristol 041,Bedminster,"Bristol, City of","Bristol, City of, unparished area"
145482,Chew Valley School,Secondary,Academy Converter,Bath and North East Somerset,BS40 8QB,Non-selective,Lighthouse Schools Partnership,1188,11,18,Has a sixth form,South West,South West,North East Somerset and Hanham,2,2,07/05/2015,05/06/2015,51.358541,-2.622911,E00072646,Bath and North East Somerset 021A,Bath and North East Somerset 021,Chew Valley,Bath and North East Somerset,Chew Stoke
145511,Bathampton Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 6TQ,Not applicable,The Bath and Wells Diocesan Academies Trust,173,4,11,Does not have a sixth form,South West,South West,Bath,1,2,17/01/2023,10/03/2023,51.397396,-2.314637,E00072593,Bath and North East Somerset 010B,Bath and North East Somerset 010,Bathavon North,Bath and North East Somerset,Bathampton
145512,Batheaston Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 7EP,Not applicable,The Bath and Wells Diocesan Academies Trust,194,4,11,Does not have a sixth form,South West,South West,Bath,2,2,17/05/2022,12/07/2022,51.408973,-2.319735,E00072602,Bath and North East Somerset 010A,Bath and North East Somerset 010,Bathavon North,Bath and North East Somerset,Batheaston
145513,St Saviours Junior Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 6TG,Not applicable,The Bath and Wells Diocesan Academies Trust,147,7,11,Does not have a sixth form,South West,South West,Bath,2,2,06/03/2013,11/04/2013,51.399597,-2.347039,E00072781,Bath and North East Somerset 004A,Bath and North East Somerset 004,Lambridge,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145514,St Saviours Infant Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 6NY,Not applicable,The Bath and Wells Diocesan Academies Trust,145,3,7,Does not have a sixth form,South West,South West,Bath,1,2,08/06/2022,21/09/2022,51.399509,-2.349367,E00072784,Bath and North East Somerset 004A,Bath and North East Somerset 004,Lambridge,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145515,Bathwick St Mary Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 6NN,Not applicable,The Bath and Wells Diocesan Academies Trust,217,4,11,Does not have a sixth form,South West,South West,Bath,1,2,22/11/2022,17/01/2023,51.389071,-2.346054,E00072633,Bath and North East Somerset 012A,Bath and North East Somerset 012,Bathwick,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145516,St Andrew's Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 2SN,Not applicable,The Bath and Wells Diocesan Academies Trust,237,3,11,Does not have a sixth form,South West,South West,Bath,3,2,26/04/2022,03/07/2022,51.388864,-2.366646,E00072762,Bath and North East Somerset 009E,Bath and North East Somerset 009,Lansdown,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145517,St Stephens Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 5PZ,Not applicable,The Bath and Wells Diocesan Academies Trust,355,4,11,Does not have a sixth form,South West,South West,Bath,1,2,11/03/2015,17/04/2015,51.395758,-2.361642,E00072799,Bath and North East Somerset 007D,Bath and North East Somerset 007,Lansdown,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145582,Bathford Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 7UB,Not applicable,The Bath and Wells Diocesan Academies Trust,139,4,11,Does not have a sixth form,South West,South West,Bath,1,Not judged,21/01/2025,02/03/2025,51.399957,-2.301444,E00072606,Bath and North East Somerset 010D,Bath and North East Somerset 010,Bathavon North,Bath and North East Somerset,Bathford
145583,Freshford Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 7WE,Non-selective,The Bath and Wells Diocesan Academies Trust,160,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,1,2,02/07/2014,06/09/2014,51.33937,-2.305167,E00072615,Bath and North East Somerset 010G,Bath and North East Somerset 010,Bathavon South,Bath and North East Somerset,Freshford
145716,St Michaels Junior Church School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 1RW,Not applicable,The Bath and Wells Diocesan Academies Trust,138,7,11,Does not have a sixth form,South West,South West,Bath,5,2,14/06/2022,21/09/2022,51.381172,-2.403341,E00073046,Bath and North East Somerset 011C,Bath and North East Somerset 011,Twerton & Whiteway,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
145899,Mulberry Park Educate Together Primary Academy,Primary,Free School,Bath and North East Somerset,BA2 5BU,Unknown,Educate Together Academy Trust,182,4,11,Does not have a sixth form,South West,South West,Bath,3,2,30/11/2022,22/01/2023,51.36084,-2.353855,E00072681,Bath and North East Somerset 018C,Bath and North East Somerset 018,Combe Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
146101,Evergreen Primary Academy,Primary,Academy Sponsor Led,Bristol,BS5 0YR,Not applicable,Cabot Learning Federation,148,3,11,Does not have a sixth form,South West,South West,Bristol East,5,2,11/01/2023,05/03/2023,51.466558,-2.572109,E00074011,Bristol 056A,Bristol 056,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
146261,Stoke Park Primary School,Primary,Academy Converter,Bristol,BS7 9BY,Not applicable,Cathedral Schools Trust,222,3,11,Does not have a sixth form,South West,South West,Bristol North East,5,2,03/10/2023,12/11/2023,51.486113,-2.566866,E00074047,Bristol 014B,Bristol 014,Lockleaze,"Bristol, City of","Bristol, City of, unparished area"
146263,Roundhill Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 1LG,Non-selective,THE PARTNERSHIP TRUST,259,2,11,Does not have a sixth form,South West,South West,Bath,4,4,27/06/2023,27/09/2023,51.368029,-2.394779,E00073012,Bath and North East Somerset 015B,Bath and North East Somerset 015,Southdown,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
146396,St Julian's Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 8QS,Not applicable,Midsomer Norton Schools Partnership,112,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,1,2,25/09/2018,16/10/2018,51.323675,-2.371938,E00072622,Bath and North East Somerset 010H,Bath and North East Somerset 010,Bathavon South,Bath and North East Somerset,Wellow
146409,Westfield Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 3XX,Not applicable,Midsomer Norton Schools Partnership,374,2,11,Not applicable,South West,South West,Frome and East Somerset,2,2,24/01/2023,14/03/2023,51.282792,-2.470916,E00073079,Bath and North East Somerset 026D,Bath and North East Somerset 026,Westfield,Bath and North East Somerset,Westfield
146424,Shoscombe Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 8NB,Not applicable,Midsomer Norton Schools Partnership,117,3,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,21/05/2014,17/06/2014,51.303894,-2.406464,E00072619,Bath and North East Somerset 010H,Bath and North East Somerset 010,Bathavon South,Bath and North East Somerset,Shoscombe
146572,Wansdyke Primary School,Primary,Academy Converter,Bristol,BS14 0DU,Not applicable,FUTURA LEARNING PARTNERSHIP,209,4,11,Does not have a sixth form,South West,South West,Bristol South,5,2,18/01/2023,05/03/2023,51.406872,-2.581009,E00074376,Bristol 052D,Bristol 052,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
146687,Cheddar Grove Primary School,Primary,Academy Converter,Bristol,BS13 7EN,Not applicable,FUTURA LEARNING PARTNERSHIP,453,3,11,Does not have a sixth form,South West,South West,Bristol South,4,2,27/06/2023,14/09/2023,51.423831,-2.616191,E00073326,Bristol 046B,Bristol 046,Bishopsworth,"Bristol, City of","Bristol, City of, unparished area"
146689,Ubley Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 6PJ,Not applicable,Lighthouse Schools Partnership,74,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,27/06/2023,14/09/2023,51.321372,-2.677269,E00072656,Bath and North East Somerset 021B,Bath and North East Somerset 021,Chew Valley,Bath and North East Somerset,Ubley
146707,Stanton Drew Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 4EQ,Not applicable,Lighthouse Schools Partnership,57,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,01/10/2024,10/11/2024,51.362622,-2.575739,E00072664,Bath and North East Somerset 020A,Bath and North East Somerset 020,Chew Valley,Bath and North East Somerset,Stanton Drew
146787,East Harptree Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 6BD,Not applicable,Lighthouse Schools Partnership,83,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,30/04/2013,24/05/2013,51.300713,-2.624566,E00072835,Bath and North East Somerset 021D,Bath and North East Somerset 021,Mendip,Bath and North East Somerset,East Harptree
