urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
138377,E-Act the Dolphin School,Primary,Academy Sponsor Led,Bristol,BS6 5PT,Not applicable,E-ACT,166,4,11,Not applicable,South West,South West,Bristol Central,5,3,01/11/2023,07/12/2023,51.466526,-2.589456,E00174279,Bristol 059A,Bristol 059,Ashley,"Bristol, City of","Bristol, City of, unparished area"
138409,Oasis Academy Bank Leaze,Primary,Academy Sponsor Led,Bristol,BS11 0SN,Not applicable,OASIS COMMUNITY LEARNING,214,3,11,Not applicable,South West,South West,Bristol North West,5,2,15/06/2016,20/07/2016,51.506627,-2.649265,E00073940,Bristol 003E,Bristol 003,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
138448,Orchard School Bristol,Secondary,Academy Sponsor Led,Bristol,BS7 0XZ,Non-selective,Trust in Learning (Academies),947,11,16,Not applicable,South West,South West,Bristol North West,4,2,20/10/2015,17/11/2015,51.499724,-2.58016,E00073919,Bristol 005A,Bristol 005,Horfield,"Bristol, City of","Bristol, City of, unparished area"
138465,St Patrick's Catholic Primary School,Primary,Academy Converter,Bristol,BS5 8AS,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,205,4,11,Does not have a sixth form,South West,South West,Bristol East,4,2,09/07/2024,10/09/2024,51.456924,-2.552212,E00178091,Bristol 029D,Bristol 029,St George West,"Bristol, City of","Bristol, City of, unparished area"
138522,Ralph Allen School,Secondary,Academy Converter,Bath and North East Somerset,BA2 7AD,Non-selective,Palladian Academy Trust,1382,11,18,Has a sixth form,South West,South West,Frome and East Somerset,1,2,26/02/2014,20/03/2014,51.362937,-2.334912,E00072676,Bath and North East Somerset 018B,Bath and North East Somerset 018,Combe Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
138531,Westbury Park School,Primary,Academy Converter,Bristol,BS6 7NU,Not applicable,NULL,410,4,11,Does not have a sixth form,South West,South West,Bristol North West,1,Not judged,08/10/2024,12/11/2024,51.477101,-2.612041,E00073828,Bristol 017A,Bristol 017,Westbury-on-Trym and Henleaze,"Bristol, City of","Bristol, City of, unparished area"
138617,Chew Stoke Church School,Primary,Academy Converter,Bath and North East Somerset,BS40 8UY,Not applicable,NULL,181,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,16/10/2014,02/12/2014,51.352169,-2.637285,E00072645,Bath and North East Somerset 021A,Bath and North East Somerset 021,Chew Valley,Bath and North East Somerset,Chew Stoke
138655,Begbrook Primary Academy,Primary,Academy Converter,Bristol,BS16 1HG,Not applicable,Cabot Learning Federation,506,3,11,Does not have a sixth form,South West,South West,Bristol North East,3,2,26/09/2023,09/11/2023,51.48788,-2.537276,E00073676,Bristol 012D,Bristol 012,Frome Vale,"Bristol, City of","Bristol, City of, unparished area"
138658,Summerhill Academy,Primary,Academy Converter,Bristol,BS5 7JU,Not applicable,Cabot Learning Federation,221,7,11,Does not have a sixth form,South West,South West,Bristol East,4,2,01/03/2022,05/05/2022,51.461513,-2.541845,E00074176,Bristol 028B,Bristol 028,St George West,"Bristol, City of","Bristol, City of, unparished area"
138668,Filton Avenue Primary School,Primary,Academy Converter,Bristol,BS7 9RP,Not applicable,Trust in Learning (Academies),570,5,11,Does not have a sixth form,South West,South West,Bristol North East,5,2,15/03/2022,11/05/2022,51.490251,-2.575776,E00074046,Bristol 005D,Bristol 005,Lockleaze,"Bristol, City of","Bristol, City of, unparished area"
138708,Cotham Gardens Primary School,Primary,Academy Converter,Bristol,BS6 6AL,Not applicable,NULL,412,4,11,Does not have a sixth form,South West,South West,Bristol Central,3,Not judged,10/12/2024,29/01/2025,51.465585,-2.597793,E00073558,Bristol 022A,Bristol 022,Cotham,"Bristol, City of","Bristol, City of, unparished area"
138709,Greenfield E-ACT Primary Academy,Primary,Academy Converter,Bristol,BS4 1QW,Not applicable,E-ACT,343,3,11,Does not have a sixth form,South West,South West,Bristol South,5,Not judged,15/10/2024,20/11/2024,51.422002,-2.597871,E00073663,Bristol 045B,Bristol 045,Filwood,"Bristol, City of","Bristol, City of, unparished area"
138710,Oasis Academy New Oak,Primary,Academy Converter,Bristol,BS14 9SN,Not applicable,OASIS COMMUNITY LEARNING,222,4,11,Does not have a sixth form,South West,South West,Bristol South,4,2,05/04/2022,26/05/2022,51.420738,-2.569809,E00073815,Bristol 047F,Bristol 047,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
138789,Minerva Primary Academy,Primary,Academy Sponsor Led,Bristol,BS16 4HA,Not applicable,Cabot Learning Federation,367,3,11,Not applicable,South West,South West,Bristol North East,4,2,11/06/2024,04/07/2024,51.472753,-2.515992,E00073878,Bristol 018E,Bristol 018,Hillfields,"Bristol, City of","Bristol, City of, unparished area"
138791,Frome Vale Academy,Primary,Academy Sponsor Led,Bristol,BS16 2QS,Not applicable,Cabot Learning Federation,202,4,11,Not applicable,South West,South West,Bristol North East,5,1,11/01/2022,15/02/2022,51.490167,-2.516447,E00073705,Bristol 013D,Bristol 013,Frome Vale,"Bristol, City of","Bristol, City of, unparished area"
138794,Fishponds CofE Primary School,Primary,Academy Sponsor Led,Bristol,BS16 3UH,Not applicable,Lighthouse Schools Partnership,330,4,11,Not applicable,South West,South West,Bristol North East,4,2,09/03/2022,10/05/2022,51.479689,-2.531204,E00073693,Bristol 013A,Bristol 013,Frome Vale,"Bristol, City of","Bristol, City of, unparished area"
138855,Redland Green School,Secondary,Academy Converter,Bristol,BS6 7EH,Non-selective,Excalibur Academies Trust,1676,11,18,Has a sixth form,South West,South West,Bristol Central,1,2,06/12/2023,23/01/2024,51.472855,-2.603821,E00074087,Bristol 020D,Bristol 020,Redland,"Bristol, City of","Bristol, City of, unparished area"
138900,Little Mead Primary Academy,Primary,Academy Converter,Bristol,BS10 6DS,Not applicable,Trust in Learning (Academies),447,3,11,Does not have a sixth form,South West,South West,Bristol North West,4,3,06/06/2023,18/07/2023,51.504683,-2.605999,E00074202,Bristol 002G,Bristol 002,Southmead,"Bristol, City of","Bristol, City of, unparished area"
138904,Parson Street Primary School,Primary,Academy Converter,Bristol,BS3 5NR,Not applicable,Trust in Learning (Academies),264,3,11,Does not have a sixth form,South West,South West,Bristol South,5,2,09/07/2024,25/09/2024,51.433048,-2.603958,E00073256,Bristol 039A,Bristol 039,Filwood,"Bristol, City of","Bristol, City of, unparished area"
138985,Broadlands Academy,Secondary,Academy Sponsor Led,Bath and North East Somerset,BS31 2DY,Non-selective,LIFT SCHOOLS,362,11,16,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,19/04/2023,14/06/2023,51.416855,-2.508947,E00189514,Bath and North East Somerset 001A,Bath and North East Somerset 001,Keynsham North,Bath and North East Somerset,Keynsham
139033,St Teresa's Catholic Primary School,Primary,Academy Converter,Bristol,BS7 0UP,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,209,4,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,11/06/2024,07/07/2024,51.499778,-2.589193,E00073918,Bristol 004A,Bristol 004,Horfield,"Bristol, City of","Bristol, City of, unparished area"
139049,Bridge Learning Campus,Secondary,Academy Sponsor Led,Bristol,BS13 0RL,Non-selective,Trust in Learning (Academies),1241,3,16,Does not have a sixth form,South West,South West,Bristol South,5,2,05/10/2021,10/11/2021,51.407426,-2.588881,E00178051,Bristol 053F,Bristol 053,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
139050,E-Act Bannerman Road Community Academy,Primary,Academy Sponsor Led,Bristol,BS5 0HR,Not applicable,E-ACT,418,3,11,Does not have a sixth form,South West,South West,Bristol East,5,2,13/07/2022,26/09/2022,51.463701,-2.564184,E00074013,Bristol 055B,Bristol 055,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
139116,Henbury Court Primary Academy,Primary,Academy Sponsor Led,Bristol,BS10 7NY,Not applicable,Trust in Learning (Academies),309,3,11,Does not have a sixth form,South West,South West,Bristol North West,5,Not judged,01/10/2024,19/11/2024,51.510116,-2.627844,E00073755,Bristol 001B,Bristol 001,Henbury and Brentry,"Bristol, City of","Bristol, City of, unparished area"
139247,E-Act the Kingfisher School,Primary,Academy Sponsor Led,Bristol,BS4 4BJ,Not applicable,E-ACT,133,3,11,Does not have a sixth form,South West,South West,Bristol East,5,2,11/07/2023,19/09/2023,51.449879,-2.543708,E00073351,Bristol 035B,Bristol 035,Brislington East,"Bristol, City of","Bristol, City of, unparished area"
139505,Stoke Bishop Church of England Primary School,Primary,Academy Converter,Bristol,BS9 1BW,Not applicable,NULL,395,4,11,Does not have a sixth form,South West,South West,Bristol North West,3,2,20/06/2012,06/07/2012,51.484355,-2.639416,E00074320,Bristol 015C,Bristol 015,Stoke Bishop,"Bristol, City of","Bristol, City of, unparished area"
139828,Cathedral Primary School,Primary,Free School,Bristol,BS1 5TS,Non-selective,Cathedral Schools Trust,419,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,Not judged,15/10/2024,20/11/2024,51.451209,-2.600786,E00178046,Bristol 061C,Bristol 061,Hotwells and Harbourside,"Bristol, City of","Bristol, City of, unparished area"
140079,Three Ways School,Special,Academy Special Converter,Bath and North East Somerset,BA2 5RF,Not applicable,NULL,250,4,19,Has a sixth form,South West,South West,Bath,3,2,10/05/2022,03/07/2022,51.355868,-2.371107,E00072825,Bath and North East Somerset 017B,Bath and North East Somerset 017,Odd Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
140267,Redfield Educate Together Primary Academy,Primary,Academy Sponsor Led,Bristol,BS5 9RH,Non-selective,Educate Together Academy Trust,314,4,11,Does not have a sixth form,South West,South West,Bristol East,4,3,21/05/2024,17/06/2024,51.457873,-2.55516,E00073587,Bristol 029B,Bristol 029,Easton,"Bristol, City of","Bristol, City of, unparished area"
140268,Oasis Academy Marksbury Road,Primary,Academy Sponsor Led,Bristol,BS3 5JL,Not applicable,OASIS COMMUNITY LEARNING,373,4,11,Does not have a sixth form,South West,South West,Bristol South,5,1,10/07/2018,13/09/2018,51.434271,-2.589775,E00074406,Bristol 040D,Bristol 040,Filwood,"Bristol, City of","Bristol, City of, unparished area"
140269,E-Act Fairlawn Primary School,Primary,Academy Sponsor Led,Bristol,BS6 5JL,Not applicable,E-ACT,229,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,2,26/04/2018,05/06/2018,51.470136,-2.581411,E00073169,Bristol 058B,Bristol 058,Ashley,"Bristol, City of","Bristol, City of, unparished area"
140409,Oasis Academy Long Cross,Primary,Academy Sponsor Led,Bristol,BS11 0LP,Not applicable,OASIS COMMUNITY LEARNING,521,2,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,14/09/2016,18/10/2016,51.497076,-2.667238,E00073216,Bristol 003A,Bristol 003,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
140452,St John's CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2JN,Not applicable,Midsomer Norton Schools Partnership,392,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,12/10/2010,05/11/2010,51.284631,-2.487296,E00072867,Bath and North East Somerset 027B,Bath and North East Somerset 027,Midsomer Norton Redfield,Bath and North East Somerset,Midsomer Norton
