seed,schuid,school_type,centre_type,name,address1,address2,address3,postcode,la,la_code,datazone,uprn,denomination,fte_teacher,pupil_roll,prop_minority_ethnic,prop_20pc_most_deprived,dz_simd_percentile,dz_simd_most_deprived_15pct,dz_simd_most_deprived_16_25pct,dz_simd_most_deprived_25pct,urban_rural_8,urban_rural_6,urban_rural_8_desc,urban_rural_6_desc,grid_easting,grid_northing,lat,lng
5702534,5702534S,Secondary,Local Authority,Alloa Academy,Bowhouse Road,Alloa,,FK10 1DN,Clackmannanshire,S12000005,S01007466,35025490,Non-denominational,62.6,757,5 - <10%,40 - <45%,4,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,692131,56.1088878,-3.7936069,
8230625,8230625P,Primary,Local Authority,Alloway Primary School,16 Doonholm Road,Ayr,,KA7 4QQ,South Ayrshire,S12000028,S01012458,141061344,Non-denominational,21.2,383,5 - <10%,*,81,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,618276,55.4300508,-4.6309366,
5120136,5120136S,Secondary,Local Authority,Alness Academy,Dalmore,,ALNESS,IV17 0UY,Highland,S12000017,S01010737,130176799,Non-denominational,39.8,505,*,45 - <50%,32,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,4,4,869231,57.6928825,-4.2484046,
5702836,5702836S,Secondary,Local Authority,Alva Academy,Academy Avenue,Alva,,FK12 5FE,Clackmannanshire,S12000005,S01007429,35025570,Non-denominational,82.6,962,0 - <5%,10 - <15%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,696763,56.1505494,-3.7914324,
5700825,5700825P,Primary,Local Authority,Alva Primary School,Brook Street,Alva,,FK12 5LY,Clackmannanshire,S12000005,S01007429,35007154,Non-denominational,30.1,355,5 - <10%,5 - <10%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,696817,56.1509521,-3.7966458,
5200326,5200326P,Primary,Local Authority,Alves Primary School,Main Road,Alves,MORAY,IV30 8UR,Moray,S12000020,S01011148,133001409,Non-denominational,6,77,10 - <20%,0%,51,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,862136,57.640765,-3.4540776,
5145120,5145120P,Primary,Local Authority,Alvie Primary School,Kincraig,Kingussie,,PH21 1ND,Highland,S12000017,S01010535,130107391,Non-denominational,2.3,46,*,0%,68,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,806542,57.1349604,-3.9257341,
5352223,5352223P,Primary,Local Authority,Alyth Primary School,Albert Street,Alyth,,PH11 8AX,Perth and Kinross,S12000048,S01011977,124008060,Non-denominational,9.9,133,*,*,43,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,748273,56.6201829,-3.2335338,
5935229,5935229P,Primary,Local Authority,Amisfield School,Amisfield,Dumfries,,DG1 3LN,Dumfries and Galloway,S12000006,S01007567,137061813,Non-denominational,2.5,36,0%,*,69,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,582872,55.1301197,-3.5679286,
5630029,5630029P,Primary,Local Authority,Ancrum Primary School,Jedburgh,Roxburghshire,,TD8 6XA,Scottish Borders,S12000026,S01012342,116048131,Non-denominational,2.6,31,0%,0%,60,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,624440,55.5122921,-2.5913407,
5323320,5323320P,Primary,Local Authority,Ancrum Road Primary School,47 Ancrum Road,Dundee,,DD2 2HX,Dundee City,S12000042,S01007836,9059036733,Non-denominational,20,318,5 - <10%,45 - <50%,53,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,731231,56.4690969,-3.0085384,
6103634,6103634S,Secondary,Local Authority,Anderson High School,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,Shetland Islands,S12000027,S01012397,30100000033,Non-denominational,84.7,986,0 - <5%,0%,55,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,5,4,1140864,60.1494683,-1.1373481,
5201322,5201322P,Primary,Local Authority,Anderson's Primary School,High Street,Forres,MORAY,IV36 1DB,Moray,S12000020,S01011155,133039538,Non-denominational,15,259,*,0 - <5%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,859015,57.6108433,-3.6095408,
8405425,8405425P,Primary,Local Authority,Anderston Primary School,7 Port Street,,GLASGOW,G3 8HY,Glasgow City,S12000049,S01010277,906700081806,Non-denominational,14.4,225,>20%,40 - <45%,13,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,665505,55.8616292,-4.2765794,
5301424,5301424P,Primary,Local Authority,Andover Primary School,50A Drumachlie Park,Brechin,,DD9 7BU,Angus,S12000041,S01007233,117083810,Non-denominational,18.4,241,*,30 - <35%,49,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,760019,56.7301502,-2.6448989,
5221447,5221447SP,Special,Local Authority,Anna Ritchie School,Grange Gardens,Peterhead,ABERDEENSHIRE,AB42 2AP,Aberdeenshire,S12000034,S01007079,151085042,Non-denominational,14.9,80,*,10 - <15%,36,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,846225,57.5060502,-1.7998643,
5948339,5948339S,Secondary,Local Authority,Annan Academy,St John's Road,Annan,DUMFRIESSHIRE,DG12 6AP,Dumfries and Galloway,S12000006,S01007661,137020551,Non-denominational,62,971,*,5 - <10%,40,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,566304,54.9847974,-3.2603155,
8221723,8221723P,Primary,Local Authority,Annanhill Primary School,Beech Avenue,Kilmarnock,,KA1 2EW,East Ayrshire,S12000008,S01008017,127066833,Non-denominational,27.8,470,5 - <10%,10 - <15%,93,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,637742,55.6074915,-4.5131189,
8230323,8230323P,Primary,Local Authority,Annbank Primary School,39 Annbank Road,Mossblown,AYR,KA6 5DZ,South Ayrshire,S12000028,S01012536,141047318,Non-denominational,17.3,265,*,*,31,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,624449,55.4877531,-4.5254039,
8405522,8405522P,Primary,Local Authority,Annette Street Primary School,27 Annette Street,,GLASGOW,G42 8YB,Glasgow City,S12000049,S01009888,906700367770,Non-denominational,14.5,176,>20%,75 - <80%,18,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,662674,55.8364841,-4.2604163,
8218323,8218323P,Primary,Local Authority,Annick Primary School,Bensley Rise,Girdle Toll,IRVINE,KA11 1BQ,North Ayrshire,S12000021,S01011201,126061545,Non-denominational,23.2,434,0 - <5%,10 - <15%,48,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,640037,55.6255061,-4.6372962,
5400023,5400023P,Primary,Local Authority,Anstruther Primary School,St Andrew's Road,Anstruther,FIFE,KY10 3HD,Fife,S12000047,S01009710,320229200,Non-denominational,16,284,0 - <5%,0%,52,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,704055,56.2270526,-2.7015947,
5759226,5759226P,Primary,Local Authority,Antonine Primary School,Broomhill Road,Bonnybridge,,FK4 2AN,Falkirk,S12000014,S01009083,136069117,Non-denominational,13.8,191,0 - <5%,*,46,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,679859,55.9972339,-3.885717,
8411921,8411921P,Primary,Local Authority,Antonine Primary School,4 Abbotshall Avenue,,GLASGOW,G15 8PR,Glasgow City,S12000049,S01010500,906700419828,Non-denominational,18.6,293,5 - <10%,85 - <90%,7,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,671119,55.9101691,-4.3778793,
5113229,5113229P,Primary,Local Authority,Applecross Primary School,Applecross,Strathcarron,ROSS-SHIRE,IV54 8LU,Highland,S12000017,S01010688,130111500,Non-denominational,1.7,10,0%,0%,58,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,842014,57.4106409,-5.8135905,
5945429,5945429P,Primary,Local Authority,Applegarth School,Lockerbie,Dumfriesshire,,DG11 2SH,Dumfries and Galloway,S12000006,S01007640,137066656,Non-denominational,2.9,39,0%,0%,41,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,587060,55.1699206,-3.3895952,
5201527,5201527P,Primary,Local Authority,Applegrove Primary School,Orchard Road,Forres,MORAY,IV36 1PJ,Moray,S12000020,S01011154,133001001,Non-denominational,19,278,5 - <10%,*,20,N,Y,Y,3,3,Accessible Small Towns,Accessible Small Towns,3,3,858658,57.6076215,-3.6106871,
