urn,name,phase,year,expected_pct,higher_pct,a8,p8
142032,Woodlands Academy,Primary,2024,43.0,0.0,,
142125,Somerset Studio School,Secondary,2024,,,40.4,-0.31
142127,IKB Academy,Secondary,2024,,,38.6,-0.54
142227,St John's Church of England Primary School,Primary,2023,70.0,4.0,,
142227,St John's Church of England Primary School,Primary,2024,63.0,13.0,,
142716,Moorlands Junior School,Primary,2023,43.0,6.0,,
142716,Moorlands Junior School,Primary,2024,56.0,14.0,,
142754,Weston All Saints CofE Primary School,Primary,2023,39.0,0.0,,
142754,Weston All Saints CofE Primary School,Primary,2024,58.0,2.0,,
142941,Welton Primary School,Primary,2023,73.0,0.0,,
142941,Welton Primary School,Primary,2024,57.0,10.0,,
142942,Longvernal Primary School,Primary,2023,65.0,6.0,,
142942,Longvernal Primary School,Primary,2024,67.0,13.0,,
142943,Combe Down CofE Primary School,Primary,2023,65.0,12.0,,
142943,Combe Down CofE Primary School,Primary,2024,56.0,9.0,,
143083,Saltford CofE Primary School,Primary,2023,82.0,13.0,,
143083,Saltford CofE Primary School,Primary,2024,77.0,9.0,,
143108,St Martin's Garden Primary School,Primary,2023,29.0,3.0,,
143108,St Martin's Garden Primary School,Primary,2024,46.0,0.0,,
143403,Hareclive E-ACT Academy,Primary,2023,55.0,4.0,,
143403,Hareclive E-ACT Academy,Primary,2024,50.0,0.0,,
143558,Oldfield Park Junior School,Primary,2023,69.0,3.0,,
143558,Oldfield Park Junior School,Primary,2024,70.0,5.0,,
143559,Widcombe CofE Junior School,Primary,2023,72.0,8.0,,
143559,Widcombe CofE Junior School,Primary,2024,74.0,5.0,,
143560,St Philip's CofE Primary School,Primary,2023,85.0,18.0,,
143560,St Philip's CofE Primary School,Primary,2024,61.0,22.0,,
143915,Norton Hill Primary School,Primary,2023,,,,
143915,Norton Hill Primary School,Primary,2024,,,,
144281,Farrington Gurney Church of England Primary School,Primary,2023,87.0,13.0,,
144281,Farrington Gurney Church of England Primary School,Primary,2024,62.0,8.0,,
144282,Marksbury CofE Primary School,Primary,2023,50.0,25.0,,
144282,Marksbury CofE Primary School,Primary,2024,80.0,10.0,,
144283,Chandag Primary School,Primary,2023,,,,
144283,Chandag Primary School,Primary,2024,70.0,16.0,,
144509,The City Academy Bristol,Secondary,2024,,,37.5,0.07
144724,St Mary Redcliffe Church of England Primary School,Primary,2023,47.0,0.0,,
144724,St Mary Redcliffe Church of England Primary School,Primary,2024,40.0,2.0,,
144737,Abbot Alphege Academy,Primary,2023,78.0,0.0,,
144737,Abbot Alphege Academy,Primary,2024,14.0,0.0,,
144762,Somerdale Educate Together Primary Academy,Primary,2023,43.0,0.0,,
144762,Somerdale Educate Together Primary Academy,Primary,2024,54.0,0.0,,
144779,Badocks Wood E-ACT Academy,Primary,2023,73.0,6.0,,
144779,Badocks Wood E-ACT Academy,Primary,2024,68.0,0.0,,
144830,Midsomer Norton Primary School,Primary,2023,66.0,8.0,,
144830,Midsomer Norton Primary School,Primary,2024,68.0,0.0,,
144863,Victoria Park Primary School,Primary,2023,53.0,5.0,,
144863,Victoria Park Primary School,Primary,2024,59.0,5.0,,
144864,Headley Park Primary School,Primary,2023,67.0,2.0,,
144864,Headley Park Primary School,Primary,2024,56.0,4.0,,
144880,Perry Court E-ACT Academy,Primary,2023,81.0,8.0,,
144880,Perry Court E-ACT Academy,Primary,2024,,,,
144892,Fonthill Primary Academy,Primary,2023,38.0,0.0,,
144892,Fonthill Primary Academy,Primary,2024,38.0,0.0,,
145070,Farmborough Church Primary School,Primary,2023,58.0,19.0,,
145070,Farmborough Church Primary School,Primary,2024,68.0,5.0,,
145320,Compass Point Primary School,Primary,2023,61.0,6.0,,
145320,Compass Point Primary School,Primary,2024,30.0,0.0,,
145321,Ashton Vale Primary School,Primary,2023,32.0,0.0,,
145321,Ashton Vale Primary School,Primary,2024,61.0,4.0,,
145398,Ashton Park School,Secondary,2024,,,50.2,0.31
145399,Luckwell Primary School,Primary,2023,63.0,11.0,,
145399,Luckwell Primary School,Primary,2024,67.0,0.0,,
145482,Chew Valley School,Secondary,2024,,,47.8,-0.1
145511,Bathampton Primary School,Primary,2023,42.0,10.0,,
145511,Bathampton Primary School,Primary,2024,62.0,14.0,,
145512,Batheaston Church School,Primary,2023,52.0,11.0,,
145512,Batheaston Church School,Primary,2024,65.0,0.0,,
145513,St Saviours Junior Church School,Primary,2023,47.0,9.0,,
145513,St Saviours Junior Church School,Primary,2024,61.0,12.0,,
145515,Bathwick St Mary Church School,Primary,2023,65.0,15.0,,
145515,Bathwick St Mary Church School,Primary,2024,67.0,3.0,,
145516,St Andrew's Church School,Primary,2023,57.0,14.0,,
145516,St Andrew's Church School,Primary,2024,43.0,10.0,,
